dataset,window_size,alphabet_size,run_count,f1_score_mean,f1_score_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,training_seconds_mean,training_seconds_std,inference_seconds_mean,inference_seconds_std,state_count_mean,state_count_std,observed_transition_count_mean,observed_transition_count_std,possible_transition_count_mean,possible_transition_count_std,transition_density_mean,transition_density_std
SKAB,6.0,5.0,5,0.5330870033169476,0.009445784804518124,0.37252453250316114,0.021391704266364,0.3635863198060548,0.00878461591280897,0.9989933877102745,0.0015598487547466753,0.4551140711395938,0.09593278812067006,0.3495658286257215,0.05199330302767581,2.321644260012545,0.28754981609864505,0.6961022799951024,0.3559421489833668,303.2,76.47025565538539,1564.8,275.3283494302757,96608.4,53192.00131880733,0.01812416899428228,0.004450458696671348
SKAB,5.0,5.0,5,0.5310291581141942,0.014530443107072681,0.3884565002925231,0.02815251324531957,0.3663891507594542,0.006469246048667205,0.9675250592035406,0.07117790490638248,0.4610422491565035,0.09918187813349265,0.3572298035885829,0.0616255113689789,1.9310792399919592,0.1320794911321723,0.2925898399902508,0.07551079469302838,150.6,30.063266622241837,854.2,119.06174868529354,23403.4,9948.579687573498,0.03933439551414366,0.008617540832567537
SKAB,3.0,4.0,5,0.5308802804599712,0.013570685023427242,0.4324621623123031,0.04056841949888784,0.37803436648889355,0.0053501988410124355,0.898555652988893,0.09787691286932367,0.4909777049470133,0.03432549944066361,0.37572892421106924,0.023847828163539846,0.8525526799843647,0.04477814022960233,0.18449821998365218,0.0036276005073096907,24.6,2.6076809620810595,126.4,5.319774431308154,610.6,129.04185367546452,0.21398898995110777,0.04249746443046933
SKAB,3.0,6.0,5,0.5268254486287691,0.01946422953806125,0.37127891166273275,0.01716531422600318,0.3606574782133977,0.011977681936151976,0.9774484536082474,0.050426790729698884,0.502116158829965,0.029322566309386768,0.36297208852009666,0.022322457678070833,1.0475022400147282,0.05125423104381678,0.21734877999406305,0.038688496514416165,45.6,8.648699324175862,227.4,38.07623931009994,2139.2,858.7497889373831,0.11308463850817259,0.022788844747405796
SKAB,4.0,6.0,5,0.5236429423054464,0.01614839995986436,0.36091841721475026,0.007612219532833719,0.3572438637090258,0.010779188864925519,0.9807931039105545,0.04115465764096516,0.46867675546615023,0.04790028440386829,0.3469393977773646,0.02503292600459585,1.6448209799942561,0.08676924090075873,0.22709113998571406,0.00770153083605601,109.0,31.160872901765767,629.6,136.2270164101086,12657.8,7817.7605616954015,0.057698680056513574,0.018126792639020395
SKAB,5.0,6.0,5,0.5235172394932693,0.016893248971391772,0.3624409304440908,0.007345954997291418,0.3574925045688251,0.010639456084643416,0.9782108591616444,0.04729939299483357,0.4484813197264511,0.06604630163400645,0.3415326003455176,0.04373397290002754,2.216376120003406,0.11608099934431437,0.44768385998904703,0.12473802316581847,227.2,79.07401595973231,1130.2,292.14328676182174,56622.0,43599.247969431766,0.02444518543181452,0.008051953003789664
SKAB,5.0,3.0,5,0.5212820522539277,0.01904710937784881,0.39408636769859123,0.042906435910701944,0.3643041074299231,0.007970660391055123,0.9237555470296442,0.10644654488309364,0.44618763854004706,0.05581937442814812,0.3451216144972472,0.022383551011185793,1.4225111600011586,0.18404633835173287,0.2562110399943776,0.032346201097448374,58.6,3.0495901363953806,411.0,48.45100618150257,3441.4,369.3051583717725,0.11943178653991196,0.006114033399522799
SKAB,6.0,3.0,5,0.5210852991549342,0.01908926920113326,0.3928512540362298,0.04122903400243085,0.3638694268518991,0.0075437004142035755,0.9249270711672978,0.10506624112045673,0.4403156423152506,0.05745133215659072,0.34025343421869153,0.022419560642106408,1.6924995800247415,0.18449308124330588,0.2972961000166833,0.06501170395697038,117.0,6.782329983125268,778.4,103.32860204222257,13725.8,1645.5185201024024,0.05670229693298716,0.0029332968220235223
SKAB,4.0,3.0,5,0.5210612626847329,0.019114896222847167,0.3952305722700436,0.04475291805979719,0.3645698998453011,0.00832612926879712,0.9212848058072775,0.10902498090359651,0.4522246841064389,0.05807437798139993,0.3503419913338578,0.02209405837494032,1.1024112200015224,0.13365928828919793,0.1999409800046123,0.004749757584709008,31.0,0.0,223.6,19.346834366376328,961.0,0.0,0.23267429760665967,0.020131981650755797
SKAB,6.0,6.0,5,0.5189193101186252,0.019671407981478466,0.3613389314853895,0.0077321795808480255,0.3553355454877802,0.012392129076966064,0.9621368568209085,0.04993863827607963,0.4394743928315508,0.05905476790693258,0.3318473414021221,0.031605881620724384,3.2001447999966333,0.4457569240333367,1.524262980010826,0.4585750489578012,465.4,146.67924188514203,2002.0,466.9518176428913,233809.0,162560.20292494717,0.01011649622675958,0.002964784131129907
SKAB,3.0,3.0,5,0.5186381981156745,0.020863584181413295,0.3937663764338505,0.04254019785517823,0.36319054012092034,0.006960041858884461,0.9155630892923229,0.11579044141588678,0.45593459126530334,0.05692077006116254,0.35507318245941716,0.025984406058042763,0.7857821199926548,0.08274486757362948,0.23705653999932105,0.030564437396233282,15.0,0.0,80.8,2.683281572999748,225.0,0.0,0.3591111111111111,0.011925695879998846
